Unnamed: 0,Tweet,len,metrics,source
198,h o n e s t l i   b i t   t i r e   s e e   o r i g i n   s t o r i   t i m e   m y   i d e a l   w o u l d   m o v i   v e r s i o n   t h e   d a r k   k n i g h t   r e t u r n   c l i v e   o w e n   a g e   b r u c e   b a t m a n   w i l l e m   d e f o   j o k e r   m a y b   s o m e o n   l i k e   m i l l i   b o b b i   b r o w n   c a r r i   k e l l i   r o b i n   h t t p   c o   y 5 u p c 4 i c y 3,222,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android
199,m a y b   n e w   j o k e r   d e f i n i t   c r i n g   t h a t   m o v i   g o o d   w a y   d e a t h   s t r a n d   g o o d   e v e n   c l i f f o r d,88,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
200,w a r n e r   b r o   m a r k e t   c h i e f   b l a i r   r i c h   r e f l e c t   j o k e r   r o l l o u t   w e   a l w a y   b e l i e v   a r t i s t   p o w e r   t h i   m o v i   h t t p   c o   a t v i l z n r s 1   v i a,130,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 11, 'quote_count': 0}",Twitter Web App
201,s m o o t h   t r a n s i t   j a p a n e s   r u b b e r   m a s k   m a k e r   d u m p   t r u m p   e m b r a c   b i d e n   h t t p   c o   i 3 n 3 i 3 6 a 1 b   t h i n k   m o v i   b a n k   r o b b e r   e   g   p o i n t b r e a k   j o k e r   n i x o n   g a n g,148,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
202,w h a t   f a v   m o v i   t i m e   m i n e   d e f   g o t t a   j o k e r,40,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
203,i   m a d e   w h o l e   m o v i   l i k e   j o k e r   w h o l e   d i f f e r   s t o r i   h t t p   c o   m x x j d u i j s t,71,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
204,i   s t a r t   a c t i v   t w i t t e r   d a y   j o k e r   m o v i   c a m e,45,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter Web App
205,t h i   a m a z   s o n i   c a s t   b u l l e t   t r a i n   s t a c k   a m p   g o n n a   b a d a s s   i   r e a l l i   l i k e   j o k e r   a m p   d e a d p o o l   2   e x c i t   s e e   z a z i   b e e t z   i   h o p e   k i c k   a s s   c r a z i   b u l l e t   t r a i n   t h i   m o v i   g o n n a   g o o d   a m p   c r a z i   h t t p   c o   v i 2 i k a u l m h,209,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
206,t h a t   j o k e r   m o v i   g o o d,21,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
207,i   u n d e r s t a n d   s p e a k   j o k e r   s o c i e t i   t o   t h i n k   i   b r i n g   m o v i   t h e a t e r   s u s p e c t   s n e a k   w a t c h   f i l m   t r u l i   l i v e,103,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 1}",Twitter for Android
208,e v e r   r e a d   t h e   d a r k   k n i g h t   r e t u r n   n o r m a l   j o k e r   w h i t e   s u i t   i   c o m p a r   l e t o   m o v i   v e r s i o n   c o m i c   o n e,100,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter Web App
209,i   t h i n k   d a r k   k n i g h t   n e a r l i   f l a w l e s s   m o v i   t h a t   s a i d   h a r d   p u t   w o r d   m u c h   i   a g r e   a s s e s s   h a d   s i m i l a r   c o n v e r s   o f   c o u r s   i   c h a r g   j o k e r   w o u l d   s t i l l   3   p l a y   g o r d o n   l e v i t t,176,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",Twitter for Android
210,j u s t   w a t c h   j o k e r   2 0 1 9   g o o d   m o v i,32,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
211,n o t h   s a y   j u s t i c   l e a g u   m o v i   l i k e   j o k e r   k i l l   r o b i n,58,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
212,j u s t   t o n e   g a n g   b a n g e r   b s   h e   g o o d   a c t o r   s u i c i d   s q u a d   l e f t   w a n t   h a r l e y   j o k e r   m o v i   r a t h e r   d i s j o i n t   t i d b i t   g o t,114,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
213,y e a   m a n   t r i   s t u f f   u k   w o r k   j o k e r   f a i l   b i t   b a n e   o n e   t h i n g   s u r e   w a n t   p e a c   l i f e   c b m   m o v i   d i r e c t o r   l o l,108,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android
214,b a t m a n   a r g u m e n t   y o u   k i l l   p e o p l   i   j o k e r   a r g u m e n t   i   k i l l   p e o p l   l e t   d i e   s e e   i t   h a p p e n   e a r l i   m o v i   t h i   r e s o n   2 2   2 3,119,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter Web App
215,n o w   b a t m a n   j o k e r   c l i m a c t   f i g h t   s o u l   g o t h a m   b a t m a n   s o u l   b a t m a n   a r g u   j o k e r   f o r c   d e s p e r   p r o v e   r i g h t   j o k e r   t a k e   n e w   r o u t   p r o v e   b a t m a n   t h i   c o m e   e a r l i   m o v i   2 1   2 3,172,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter Web App
216,b r u h   g r e a t   c o v e r   m o v i   s t u f f   t h i   d o p e   z a c k   s n y d e r   i n t e r v i e w   n e w   l o o k   j o k e r   s n y d e r   c u t   2 0 2 1   n e w   s c e n e   h t t p   c o   y g w g 2 a d o t   v i a,129,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
217,f i r s t   e m o j i   m o v i   j o k e r   m o v i   j e a n,34,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone
218,b u t   g e t   w h o l e   n e w   m o v i   t o l d   j o k e r   a l r e a d i   a s s e m b l   c u t   m o v i   h t t p   c o   r z t e o q z p n v,85,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
219,n o w   u n d e r s t o o d   d e l a y   2 0 2 2   e v i d   w o u l d   o v e r s h a d o w   m o v i   t h e   d i r e c t   b e n   a f f l e c k   b a t m a n   j a r e   l e t o   j o k e r   2   o s c a r   w i n   a c t o r   m u c h   c i n e m a   q u a l i t i   s c r e e n   n i c e   m o v e   h t t p   c o   h w l o o r l 3 k w,190,"{'retweet_count': 1, 'reply_count': 2, 'like_count': 4, 'quote_count': 0}",Twitter for Android
220,b u t   s i n c   j o k e r   o r i g i n   m o v i   a d   v i a   a d d i t   p h o t o g r a p h i   z a c k   s a i d   4   5   m i n u t   i   g u e s s   e x p e c t   c a m e o   l i k e   a p p e a r   i f   t r u e   i   h o p e   n o b o d i   l e a k   l o o k,157,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter for Android
221,t o   c l a r i f i   l o o k   b a s e   v i d e o   g a m e   c r e a t i v   v i d e o   g a m e   r e i m a g i n   c h a r a c t   i t   i n c r e d   i   n e v e r   s e e n   m o v i   t v   s h o w   r e i m a g i n   l e v e l,133,"{'retweet_count': 123, 'reply_count': 40, 'like_count': 1425, 'quote_count': 22}",Twitter Web App
222,4   m i n   w h o l e   n e w   m o v i   2 0 2 0   d o n e   n e e d   2 0 2 1,42,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",Twitter for Android
223,j o k e r   m o v i   r e m i n d   b r i t i s h,27,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Cheap Bots, Done Quick!"
224,y o u   k n o w   e x c e l   m o v i   j o k e r   c a m e   j o a q u i n   p h o e n i x   l a s t   y e a r   w o w   i   r e m e m b   s e e   t h e a t e r   t h i n k   i   s e e n   r e c e n t   m o v i   w e l l   m a d e   l o n g   t i m e,141,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 6, 'quote_count': 0}",Twitter for iPhone
225,a f t e r   w a t c h   i   s a y   g r e a t e s t   a c t o r   g a v e   g r e a t   p e r f o r m   l i k e   j o k e r   t e e   m a a r   k h a n   e t c   b a c k   w h a t   f l o p   m o v i,109,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
226,w h a t   g e t   c r o s s   m e n t a l   i l l   l o n e r   s o c i e t i   a b a n d o n   o n e   c h i l l   s c e n e   i   e v e r   w i t   m o v i,94,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
227,t h r e e   u s   c o m m o n   r i g h t   p o r t r a y   t h e   j o k e r   b e s t   s e l l   h i t   m o v i   h t t p   c o   h u g q x s x o n 6   h t t p   c o   p j k y 3 g q q h q,104,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone
228,t h e   j o k e r   b e t t e r   v i l l a i n   m a n i   c o l d   l i n e   b a n e   b a n e   s p i t   w h o l e   m o v i   h t t p   c o   n c 2 g f f y k z g,91,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
229,f a v o r i t   m o v i   j o k e r   h t t p   c o   e 1 i g m k d j w 6,40,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
230,t h e   m o m e n t   i   f e l t   o l d   i   o v e r h e a r d   2   g i r l   t a l k   o l d   m o v i   w a t c h   f e m i n i s t   g i r l   g u y   p l a y   j o k e r   o l d   b a t m a n   m o v i   d i e   i   l i k e   t e n   t h i n g   i   h a t e   a b o u t   y o u   i s   n o t   a n   o l d   m o v i   i   r e a l i z   h t t p   c o   5 o l h g t y 8 4 d,206,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 16, 'quote_count': 0}",Twitter for iPhone
231,t h e   s u i t   p e r f e c t   m o v i   h o n e s t l i   f e e l   l i k e   c o m p l e t   d i f f e r   v e r s i o n   b a t m a n   t d k   t d k r   h e   a c t u a l   t h r e a t   c r i m i n   m a d e   e v e r y o n   f e a r   b a t m a n   w e n t   t d k   j o k e r   w o u l d   s l e e p   o n e   e y e   o p e n   c a s e,190,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter for Android
232,s h u t   t h e   f u c k   u p   y o u   c h i l d   y o u r   l i t e r   a   b a b i   i t   i s   s u c h   a   s a d   p o w e r   a n d   e n j o y   m o v i   b i r d   o f   p r e y   w a   n o t h   c o m p a r   t o   j o k e r   t h a t   w h i   j o k e r   g o t   a n   a w a r d   b e c a u s   m y   b o i   j o a q u i n   w a   a n   i n c r e d   a c t o r   l e a r n   y o u r   p l a c e   t r a s h,237,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
233,i   m a i n   j o k e r   i   h u g e   f a n   y e a r   i   l o v e   k i l l e r   c l o w n   m o v i   c o m i c   e t c   i   a l w a y   w a n t   s e e   v i o l e n t   s i d e   j o k e r   d c   l e t   u s   s e e   l a s t   y e a r   2 0 1 9   m o v i   m k 1 1   e v e r y t h   i   h o p e   h t t p   c o   l i c v y o r b c,186,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
234,k i l l   b o u t   j o k e r   m o v i   r e a l l i   b a d   a s s   s h o r t i   s i d e,48,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
235,p e o p l   m a k e   h a t e   2 0 1 9   j o k e r   c h a r a c t   t r a i t   l i k e   g r e a t   m o v i   g r e a t   p r o d u c t   j o a q u i n   g r e a t   j o b   w e n t   g r e a t   l e n g t h   s t o r y l i n   a w e s o m   m a d e   r e a l i t i   v i l l a i n   b a d   l i k e   p e o p l   h a t e   m o v i,183,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter for iPhone
236,w e l l   i   t h o u g h t   g o o d   i d e a   i n   2 0 0 7   s a i d   p e o p l   s c o f   n o l a n   i d e a   h e a t h   l e d g e r   p l a y   j o k e r   t h e y   s a i d   m o v i   w o u l d   s u c k   i n   2 0 0 8   e v e r y o n   m a d e   b a n k   e x c e p t   d o o f u s,157,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
237,t h e r e   m a g i c   s t o r e   d o n   f o r g e t   w a t c h   j i n g l   j a n g l   a   c h r i s t m a   j o u r n e y   c l i c k   n o w   m o v i   n i g h t   t r e a t   h t t p   c o   z i j x c 7 b y b 2,116,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Fan Experiences Platform
238,t h e   b a t g i r l   p l o t   l i n e   u n n e c e s s a r i   t h e   k i l l   j o k e   m o v i   g i v e   b a t m a n   m o t i v   g o   j o k e r   s e x u a l   r e l a t i o n s h i p   l i k e   n e e d   u n n e c e s s a r i   m o t i v   b a r b a r a   l i k e   d a u g h t e r,163,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",Twitter for iPhone
239,f i r s t   i   t h i n k   i   w a n t   s a y   w h o e v e r   g i v e   1   r a t e   l a x m i   m o v i   a c t u a l   c h u t i y a   j i n k   v a j a h   s e   i n d i a   j a h a k   v a h a   h a i   t h i   m o v i   d i s a s t   l i k e   j o k e r   a k s h a y   k u m a r   s t i l l   w a n t   s e e   m o v i   f i r s t   g o   p s y c h i a t r i s t   c h e c k   s e l f,210,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
240,w o u l d   c o o l   g e t   a r r o w v e r s   i n v o l v   p l u   t i t a n   j o k e r   u n i v e r s   h e   c o u l d   b i g   m u l t i v e r s   m o v i   m o v i   s h o w   c o m b i n   o k a y   i   s e t   b a r   h i g h   i m a g i n   h t t p   c o   w g d d b i 1 w m w,163,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
241,o d d l i   e n o u g h   i   r e a l l i   l i k e   i t a l i a n   j o b   h e i s t   m o v i   f a v o r i t   s c e n e   b a n k   r o b b e r i   j o k e r   r e v e a l   d a r k   k n i g h t   h t t p   c o   p x s 9 s 1 h u w u,124,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
242,w h a t   f a v o r i t   m o v i   j o k e r   h t t p   c o   n y 6 r z 8 5 a x q,45,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
243,p e r a m s o n   w a t c h   s y m p a t h e t   v i l l a i n   m o v i   u n l e s s   v i l l a i n   o r i g i n   m a d e   w a y   i   s a y   d o n e   i   c a r e   d o n t   c a r e   t h a n o   c r u e l l a   m a l i f i c i   j o k e r   a n i   e m   j u s t   t h i n g   i   f i n d   h a r d   c a r e,178,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
244,i i   s t i l l   a n n o y   m e d i a   w a n t   p e o p l   h a t e   j o k e r   m i g h t   f e e l   s y m p a t h i   t r i   f r a m e   j u s t i f   i n c e l   w h i t e   a m e r i c a n   s h o o t e r   b e h a v i o u r   n o n e   f u c k   m o v i   s h o w   e v e n   s e e,166,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
245,i   w a t c h   t h e   d a r k   k n i g h t   2 0 0 8   i t   a m a z   m o v i   b a t m a n   v i g i l a n t   d e t e c t   t r i   f i g u r   b a d   g u y   t h e   j o k e r   m e n a c   v i l l a i n   w a n t   s e e   w o r l d   b u r n   i t   a l s o   s h o t   l i k e   w a t c h   c o m i c   b o o k   h t t p   c o   c i s a v r p o o y,203,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",Twitter Web App
246,n o t h   f u l l   m e t a l   j a c k e t   i m p l i   c o m e d i   n o t   e v e n   j o k e r   j u n g i a n   t h i n g   t h a t   m o v i   f a c e   p o s s i b l,94,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
247,r e m i n d   j o k e r   m o v i,19,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
248,h a   e n o u g h   t i m e   c a n   i   f i n a l   s a y   o k a y   j o k e r   m o v i   s u c k   b a l l,63,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone
249,i   i n v e n t   j o k e r   m o v i,22,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 17, 'quote_count': 0}",Twitter for iPhone
250,y a   t h i n k   s h e   a t t r a c t   n o w   l o o k   l i k e   t h e   j o k e r   p l a y   j a c k   n i c h o l s o n   m o v i   b a t m a n   s h e   a m p   m a n i   w o m a n   p u r p o s   t u r n   f a c e   a m p   b o d i   l o o k   l i k e   f r e a k   v e r i   s c a r i   u n   y i k e,174,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
251,t e l l   j o k e r   h o u s   h o l d   g a v e l   o n e   h o l d   s t i m u l u   l o o k   f o r w a r d   a c t u a l   p u t   g o o d   m o v i   e v e r   h a p p e n   h t t p   c o   m w z y q p k n 9 l,125,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
252,s u b s c r i b   h t t p   c o   1 u e 4 o 1 d x e j   n e w s l e t t   s a m p l   h t t p   c o   g h r y d t h o u 0   t e r m   d r u g   m o v i   p h o b i a,90,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tchat.io
253,i   h e l p   s e e   a l o n g   l i n e   j o k e r   a   m o v i   g o   t r i   e m p a t h   w o r s t   w o r s t   s l a p   h a l f   m e a s u r   m e s s a g   t o p,98,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 5, 'quote_count': 0}",Twitter for iPhone
254,1   p a r a s i t   2   u s   3   j o k e r   4   k n i v e   o u t   5   o n c   u p o n   t i m e   h o l l y w o o d   6   d o l e m i t   n a m e   7   a v e n g   e n d   g a m e   8   a   b e a u t i   d a y   n e i g h b o r h o o d   9   t o y   s t o r i   4   1 0   e l   c a m i n o   a   b r e a k   b a d   m o v i   1 1   r o c k e t m a n   h m   h a i r   l o v e   a m p   y e s t e r d a y   h t t p   c o   d o i t c q x u 9 r,238,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
255,l e f t i s t   t r i   m a k e   j o k e r   c r i n g   b r i n g   c l a s s   b r u h   m o v i   e v e r y o n   h a t e   s t o p   g o o f   g o   o u t s i d   f r   h t t p   c o   j b q m t y 3 t 9 k,117,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 16, 'quote_count': 0}",Twitter Web App
256,i   w a t c h   j o k e r   f i r s t   t i m e   c o u p l   m o n t h   a g o   l o v e   h o n e s t l i   n e w   m o v i   i   w a t c h   y e a r,84,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
257,m a n i   t h i n g   w r o n g   l i v e   a c t i o n   m o v i   s u i c i d   m i s s i o n   l i k e   t w o   d i e   d e n i a b l   g o v   g e t   g o v   e s c o r t   m o s t l i   n o n   p o w e r   p e o p l   v s   w o r l d   e n d   g o d d e s s   j u g g a l o   j o k e r   e d i t   e d i t   e d i t,183,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
258,y o u   k n o w   i   s c r e e n   n e w   m o v i   j o k e r   w h i t e   h o u s   l e m m   l e m m   t e l l   s o m e t h   m a n   e x a c t l i   l i k e   i n   e v e r i   s e n s   i   k i d   i   r e a l l i   i   r e a l l i   r e l a t   f a s c i n   h t t p   c o   4 c d f p 8 q g q t,174,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 31, 'quote_count': 0}",Twitter Web App
259,j o k e r   m o v i   s o m e t h   i d k   s e e n   h t t p   c o   k d y s 4 f k 8 s m,50,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 1}",Twitter for Android
260,h e   w a l k   a r o u n d   p o s e   p e o p l   f i l m   l i k e   j o k e r   m o v i,53,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
261,i   e v e n   l i k e   j o k e r   m o v i,23,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter for Android
262,a   m o v i   i   p l a y   j o k e r   i   a c t   l i k e   n o r m a l   s e l f   e v e r y o n   c a l l   s a d i s t   c l o w n   b a t m a n   b e a t,86,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",Twitter for iPhone
263,a n d   f o l l o w   h u m a n   d e s i r   e s c a l   p e r s o n   g a i n   i   r e m e m b   j o k e r   t h e   d a r k   k n i g h t   m o v i,87,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
264,w a   j o k e r   m o v i   h t t p   c o   m 2 f m t g o o a v,35,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
265,h a r l e y   q u i n n   b u n d l   i v i   a x e   j e w e l   c a t   j o k e r   r e v e n g   k i n g   b e a c h   k i n g m a k   l a u g h   r i o t   m a n t a   b l a d e   m a r t i a l   a r t   m a s t e r   p i c k   c a r d   p o i s o n   i v i   p u n c h l i n   s e a   s h a k a   s u p r e m   s h e l l   t h e   b a t   t h e   b a t   c a t   t h e   d a r k   k n i g h t   m o v i   c l o a k   t h e   d a r k   k n i g h t   m o v i   o u t f i t,251,"{'retweet_count': 1, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone
266,t h e   j o k e r   m o v i   s e e m   l i k e   n o r m a l   c r a z i   l i k e   j o k e r   w a s n t   b a t m a n   s t o r i   t a l e   m a d e   i m   l i k e   j o k e r   b e c a m   c h a r i s m a t   r e b e l   r e n e g a d   j o k e r   w a s n t   r e a l l i   b a d   a b u s   k i d,162,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
267,r e m e m b   r e v i e w   a n a l y s i   j o k e r   j o a q u i n   m o v i   d e a d   w r o n g   i   m e a n   h i l a r i   t i m,80,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
268,j o k e r   m o v i   l o c k   v a u l t   n e v e r   p l a y   e v e r   m i g h t   m a k e   p e o p l   c r a z i   i   f e l t   l i k e   j o k e r   w a t c h   s h i t   i   a l s o   f e l t   s o r r i   l a s t   t h i n g   w a n t   p i t i   m a n i a c   l o l   b a n   s h i t   t e l e v i s   i   s t a r t   t h i n k i n   c h i l d h o o d,196,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
269,s h o u l d   i   w a t c h   t h e   j o k e r   i   n e v e r   w a t c h   h u g e   s u p e r h e r o   m o v i   g u y   t b h,69,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
270,f r o m   j o k e r   m o v i   n o t   p e r s o n a,28,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
271,j o k e r   m o v i,11,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
272,g u y   f a v o r i t   m o v i   j o k e r,25,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
273,m u c h   b e t t e r   t b h   v i o l e n c   l i k e   n e w s   t o l d   u s   j o k e r   m o v i   g o n n a   l e a d   m a s s   v i o l e n c   a m p   e v e r y o n   l i k e   g o   b e h a v,110,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
274,s e r i o u s   p r o v e   j o k e r   m o v i   r i g h t   l i k e   h a p p e n   m a s k   n   s h i t,60,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",Twitter for Android
275,w h i c h   f a v o r i t   m o v i   c h a r a c t e r t l   t i l l   d a t e   m i n e   j o k e r   d a r k   k n i g h t,65,"{'retweet_count': 0, 'reply_count': 14, 'like_count': 9, 'quote_count': 2}",Twitter Web App
276,b a t m a n   t h e   m o v i   b a t m a n   b a t m a n   r e t u r n   b a t m a n   m a s k   p h a n t a s m   b a t m a n   f o r e v   b a t m a n   a m p   r o b i n   b a t m a n   b e g i n   t h e   d a r k   k n i g h t   t h e   d a r k   k n i g h t   r i s e   b a t m a n   v   s u p e r m a n   d a w n   j u s t i c   s u i c i d   s q u a d   t h e   l e g o   b a t m a n   m o v i   j u s t i c   l e a g u   j o k e r   s o r t a,237,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 1}",TweetDeck
277,t h e   b a d   t h i n g   i   t h i n k   l a s t   m o v i   i   s a w   t h e a t e r   j o k e r   a n d   t h a t   b r u t a l,69,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
278,j o k e r   m o v i   b a n   e v e n   c u t   5 8   s c e n e   h t t p   c o   x i f n y z x v n 1,58,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",IFTTT
279,e x a c t l i   c h a n g   e v e r i   m o v i   e a c h   j o k e r   d i f f e r   a n o t h   s t o r i,61,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
280,i   w a t c h   m o v i   t h e   j o k e r   i t   t r i g g e r   h a v e   l i v e   2   p e o p l   o n e   p h y s i c i a n   a l s o   h e a l t h   c a r e   a r e n a   a t t a c k   o n e   a n o t h   p s y c h o l o g   a m p   p h y s i c   i   f a m i l i a r   c o n s e q u   u n c h e c k   m e n t a l   i l l,197,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
281,t h e   f u c k   k i n d a   a s s   b a c k w a r d   t a k e   t h a t   l i k e   i   h e a r d   p a r e n t   t a l k   j o k e r   m o v i   s a y   h a t e   m o v i   t r i   j u s t i f i   a c t i o n   a n d   i   l i k e   d i d   w a t c h   m o v i,147,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter Web App
282,s h u t   f u c k   i m   j o k e r   j o k e r   m o v i   h t t p   c o   n o b o a q q x 4 l   h t t p   c o   9 u x 3 5 r g o a z,70,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
283,r e v i e w   s i n g k a t   m o v i   m r   r i g h t   2 0 1 5   o m g   m o v i   l i k e   a l t e r n   t h i n g   j o k e r   g o o d   w a y   t h i   l i k e   k i n d a   d r e a m   g e t   r e l a t i o n s h i p   w e l l   t h i n g   t y p e   b o y f r i e n d   w a y   h a r d   f i n d   t a m a t,171,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
